trial,scene,difference,number 
1,1,0,6
2,1,1,13
3,1,2,4
4,1,3,7
5,1,4,10
6,1,5,2
7,1,6,9
8,2,0,0
9,2,1,13
10,2,2,12
11,2,3,10
12,2,4,2
13,2,5,9
14,2,6,7
15,3,0,15
16,3,1,9
17,3,2,5
18,3,3,0
19,3,4,10
20,3,5,4
21,3,6,13
22,4,0,5
23,4,1,4
24,4,2,11
25,4,3,9
26,4,4,13
27,4,5,2
28,4,6,3
29,5,0,3
30,5,1,0
31,5,2,4
32,5,3,5
33,5,4,1
34,5,5,7
35,5,6,10
36,6,0,5
37,6,1,10
38,6,2,1
39,6,3,2
40,6,4,6
41,6,5,0
42,6,6,11
